id,rulepack,rule_src,type_id,name,description,tags,kc,classification,threat_def,mitre_attackids,query,distinguishers,deleted,hidden,rf_rule,enabled,alert,revisions,risk,create_date,update_date,disabled_reason,tuned,tuningSearch,tuningEventsThreshold,tuningSecondsThreshold,customer_id,weblink,mitre_tactics,severity,confidence,count,extra_f1,extra_f2,threatvector,os,eventids,threattype,ruletype,Alert count in last 12 months,Commnets,Categorization,Metadata_update,Rule Count before,Rule Count After,Tags,RA - investigate,RA - contain,RA - remediate
1.1.1115,AWS,internal,7da37644-be69-46b5-9f45-1d743a296405,AWS CLOUDTRAIL [IAM - Update Account Password Policy],"This rule looks for CloudTrail UpdateAccountPasswordPolicy actions. While this is not enough to alert on by itself, a customer can modify this rule to watch password policies that may weaken security or violate policy. This rule is disabled by default and should be viewed as a template for customers.","aws,cloudtrail,iam,cloud,updateaccountpasswordpolicy,Persistence,Account Manipulation,T1098,md-info",NA,Methodology,Methodology,T1098,class=aws_cloudtrail srczone=iam.amazonaws.com action=updateaccountpasswordpolicy NOT srcipv4:$exclusions.global.srcipv4,"roleid,action",FALSE,FALSE,FALSE,TRUE,OFF,2,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.1115,Persistence,Low,High,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,,Standalone Proxy rules,,,,passthrough: AWS Cloudtrail,4.1.2,4.2.2,"4.3.1  , 4.3.2"
1.1.2628,AWS,internal,7da37644-be69-46b5-9f45-1d743a296405,AWS CLOUDTRAIL [S3 - Broad Bucket ACL Permissions],"This rule looks for when CloudTrail logs an event indicating a broad ACL was assigned to an S3 bucket. Specifically this rule is looking for the group ""AllUsers"" (which is an AWS meta group for wide open permissions) or ""AuthenticatedUsers"" (a meta group for any AWS authenticated users, regardless of whether they are in your organization) being given READ, READ_ACP, WRITE, WRITE_ACP, or FULL_CONTROL permissions. Leaving a bucket open like this could make it vulnerable to data theft or other nefarious activity. If this rule triggers an alert, restrict S3 buckets to their intended purpose and to authorized users.","aws,cloudtrail,s3,cloud,putbucketacl,Collection,Data from Cloud Storage Object,T1530,md-info",Act,Methodology,Methodology,T1530,"class=aws_cloudtrail srczone=s3.amazonaws.com action=putbucketacl rawmsg:[global/AllUsers,global/AuthenticatedUsers] and rawmsg:[READ,READ_ACP,WRITE,WRITE_ACP,FULL_CONTROL] NOT srcipv4:$exclusions.global.srcipv4",roleid,FALSE,FALSE,FALSE,TRUE,ON,2,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2628,Collection,Low,High,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,16,,Standalone native rules,Native,,,"Trellix Cloud, Trellix Atomic, Trellix User Behavior",4.1.2,4.2.2,"4.3.1  , 4.3.2"
1.1.2645,AWS,internal,7da37644-be69-46b5-9f45-1d743a296405,AWS CLOUDTRAIL [Logon From Tor],"This rule looks for AWS activity from a user originating from a Tor exit node. Tor (The Onion Router) is free software that enables anonymous communication by relaying traffic through a number of open ""exit nodes"". Attackers use Tor to hide their tracks when accessing compromised systems. Tor can also be used for legitimate purposes, so this type of alert will depend on your organization's policy.","aws,cloudtrail,logon,tor,md-action",NA,Methodology,Methodology,NA,class=aws_cloudtrail context_tags:tor_exit has:srcipv4 has:username NOT srcipv4:$exclusions.global.srcipv4,roleid,FALSE,FALSE,FALSE,TRUE,ON,1,High,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2645,NA,High,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,1,,Standalone native rules,Native,,,"Trellix Cloud, Trellix Atomic,Trellix Network Artifact","3.1.2 , 3.1.3",3.2.1,3.3.5
1.1.2690,AWS,internal,7da37644-be69-46b5-9f45-1d743a296405,AWS CLOUDTRAIL [Multiple Authorize Actions],"This rule looks for when CloudTrail logs a single AWS user making several Authorize* actions in a short timeframe. This could indicate an unauthorized attacker changing a security group's allowed IPs or ports to facilitate an attack. Automated API calls from legitimate AWS management applications may also trigger this rule. If this rule triggers an alert on legitimate activity, it may require tuning.","aws,cloudtrail,authorize,cloud,Defense Evasion,Impair Defenses,T1562,Disable or Modify Tools,T1562.001,Initial Access,Persistence,Privilege Escalation,Valid Accounts,T1078,Cloud Accounts,T1078.004,md-info",Act,Methodology,Methodology,"T1562,T1562.001,T1078,T1078.004","class=aws_cloudtrail action=[authorizesecuritygroupingress,authorizesecuritygroupegress,authorizedbsecuritygroupingress] NOT useragent:[`terraform/`,`aws_lambda_python`,`aws-sdk-`,`boto/`,`boto3/`,`botocore`,`aws-cli/`] NOT roleid:[`config-role`,`service-role`,`jenkins_pipeline_build_role`,`packer-jenkins`] NOT srcipv4:$exclusions.global.srcipv4",roleid,FALSE,FALSE,FALSE,TRUE,ON,4,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2690,"Defense Evasion,Initial Access,Persistence,Privilege Escalation",Low,Low,0,NA,NA,Cloud,NA,NA,Methodology,Native,202,Threshold,Standalone native rules,Native,,,"Trellix Cloud, Trellix Atomic, Trellix User Behavior",4.1.2,4.2.2,"4.3.1  , 4.3.2"
1.1.2695,AWS,internal,7da37644-be69-46b5-9f45-1d743a296405,AWS CLOUDTRAIL [AWS Toolkit],"This rule looks for when CloudTrail logs an event with an AWS Toolkit for Visual Studio user-agent pattern. AWS Toolkit for Visual Studio is a Visual Studio extension used to develop .NET-based AWS applications. While the toolkit is used for legitimate applications, this could also indicate structured threat actors using this user-agent during AWS breaches. This rule may require tuning if it triggers an alert on legitimate activity.","aws,aws toolkit,cloud,cloudtrail,Discovery,md-info",Act,Methodology,Methodology,NA,"class=aws_cloudtrail useragent:`awstoolkitpackage.vs` useragent:&[clientsync,documentmodel,tablesync] NOT srcipv4:$exclusions.global.srcipv4",roleid,FALSE,FALSE,FALSE,TRUE,ON,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2695,NA,Low,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,,Standalone native rules,Native,,,"Trellix Cloud, Trellix Atomic, Trellix Tools",4.1.2,4.2.2,"4.3.1  , 4.3.2"
1.1.2891,AWS,internal,7da37644-be69-46b5-9f45-1d743a296405,AWS CLOUDTRAIL [IAM Role Enumeration],"This rule looks for IAM role enumerations, which an attacker could use to perform ""lateral movement."" The rule detects a high number of failed ""AssumeRole"" requests, which means the requested role does not exist. A high number of these could indicate that an attacker is performing a brute-force attack. For details, see the linked blog post.","aws,cloudtrail,iam,role enumeration,Discovery,Account Discovery,T1087,md-action",Installation,Methodology,Methodology,T1087,class=aws_cloudtrail action=assumerole srczone=sts.amazonaws.com missing:logonid errormessage:`not authorized to perform` NOT authmethod=true NOT srcipv4:$exclusions.global.srcipv4,"roleid,username",FALSE,FALSE,FALSE,TRUE,ON,2,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2891,Discovery,Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,1,Threshold,Standalone native rules,Native,,,"Trellix Cloud, Trellix Atomic, Trellix User Behavior","4.1.1 , 4.1.2",4.2.2,"4.3.1  , 4.3.2"
1.1.2902,AWS,internal,7da37644-be69-46b5-9f45-1d743a296405,S3SCANNER METHODOLOGY [Bucket HEAD Request],S3Scanner is an open source tool for finding open AWS S3 buckets and downloading their contents. This rule detects unauthenticated S3 bucket HEAD requests with S3Scanner's default user-agent.,"aws,s3,cloud,Discovery,File and Directory Discovery,T1083,faas-full-coverage,md-info",Recon,Methodology,Methodology,T1083,class=aws_s3 operationid=rest.head.bucket uri=/ missing:accountid useragent:`python-requests*` NOT srcipv4:$home_net NOT srcipv4:$exclusions.global.srcipv4,srcipv4,FALSE,FALSE,FALSE,TRUE,ON,2,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.2902,Discovery,Medium,Medium,0,NA,NA,Cloud,NA,NA,Vulnerability,3rd party,,,Standalone native rules,Native,,,"Trellix Cloud, Trellix Atomic, Trellix Tools",3.1.4,"3.2.4, 3.2.5",3.3.5
1.1.3175,AWS,internal,7da37644-be69-46b5-9f45-1d743a296405,AWS CLOUDTRAIL [RDS ModifyDBInstance MasterUserPassword Change],This rule looks for an AWS RDS MasterUserPassword change for a DB instance.,"aws,cloudtrail,cloud,modifydbinstance,Defense Evasion,Initial Access,Persistence,Privilege Escalation,Valid Accounts,T1078,Cloud Accounts,T1078.004,md-info",NA,Methodology,Methodology,"T1078,T1078.004",class=aws_cloudtrail srczone=rds.amazonaws.com action=ModifyDBInstance rawmsg:masterUserPassword NOT srcipv4:$exclusions.global.srcipv4,"roleid,action",FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3175,"Defense Evasion,Initial Access,Persistence,Privilege Escalation",Medium,High,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,54,,Standalone native rules,Native,,,"Trellix Cloud, Trellix Atomic, Trellix User Behavior","4.1.1 , 4.1.2",4.2.2,"4.3.1  , 4.3.2"
1.1.3329,AWS,internal,7da37644-be69-46b5-9f45-1d743a296405,AWS CLOUDTRAIL [Multiple Console Login Failures],This rule looks for multiple failed AWS Console login attempts.,"aws,cloudtrail,cloud,console login,Defense Evasion,Initial Access,Persistence,Privilege Escalation,Valid Accounts,T1078,Cloud Accounts,T1078.004,md-info",NA,Methodology,Methodology,"T1078,T1078.004",class:aws_cloudtrail action=consolelogin result=failure NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,2,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3329,"Defense Evasion,Initial Access,Persistence,Privilege Escalation",Low,High,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,11,Threshold,Standalone Native rules,Native,,,"Trellix Cloud, Trellix Atomic, Trellix User Behavior, Trellix Brute Force",4.1.2,4.2.2,"4.3.2  , 4.3.3"
1.1.3331,AWS,internal,7da37644-be69-46b5-9f45-1d743a296405,AWS CLOUDTRAIL [Multiple Unauthorized Action],This rule looks for multiple unauthorized AWS actions performed by the same user.,"aws,cloudtrail,cloud,unauthorized action,Discovery,Cloud Service Discovery,T1526,md-info",NA,Methodology,Methodology,T1526,class:aws_cloudtrail errormessage=`you are not authorized to perform this operation.` NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,OFF,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3331,Discovery,Low,High,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,Threshold,Standalone Native rules,Native,,,"Trellix Cloud, Trellix Atomic, Trellix User Behavior","4.1.1 , 4.1.2",4.2.2,"4.3.1  , 4.3.2"
1.1.3367,AWS,internal,7da37644-be69-46b5-9f45-1d743a296405,AWS CLOUDTRAIL [Privileged Policy Attached To IAM Identity],"This rule looks for a privileged policy that is attached to an existing AWS user, group, or role. While this could be legitimate activity, it may also be used by an adversary to escalate a normal user's privileges to an administrative level.","aws,cloud,Persistence,Account Manipulation,T1098,md-info",Act,Methodology,Methodology,T1098,"class=aws_cloudtrail action=[`attachuserpolicy`,`attachrolepolicy`,`attachgrouppolicy`] policyid:[`*administratoraccess`,`*databaseadministrator`,`*networkadministrator`,`*systemadministrator`,`*amazons3fullaccess`] NOT srcipv4:$exclusions.global.srcipv4","username,action",FALSE,FALSE,FALSE,TRUE,ON,2,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3367,Persistence,Low,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,126,,Standalone Proxy rules,,,,passthrough: AWS Cloudtrail,"4.1.1 , 4.1.2",4.2.2,"4.3.1  , 4.3.2"
1.1.3378,AWS,internal,7da37644-be69-46b5-9f45-1d743a296405,AWS CLOUDTRAIL [Lambda Executing Suspicious Action],"If an attacker gains an initial foothold in an AWS environment, the attack's next objective is to figure out a way to maintain that access. In a traditional enterprise, that might look like installing a service, setting up a scheduled task or creating a backdoor user account. For an AWS environment, AWS Lambda functions can be used as a persistence mechanism. This rules detects, a lambda function executing a suspicious action by creating an access key to backdoor an IAM user or updating a security group to allow ingress on a port or updating an assume role policy to allow external access.","aws,cloudtrail,cloud,Defense Evasion,Initial Access,Persistence,Privilege Escalation,Valid Accounts,T1078,md-action",NA,Suspicious,Methodology,T1078,"class=aws_cloudtrail service=lambda.amazonaws.com action:[createaccesskey,authorizesecuritygroupingress,updateassumerolepolicy] NOT srcipv4:$exclusions.global.srcipv4","username,roleid",FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3378,"Defense Evasion,Initial Access,Persistence,Privilege Escalation",Medium,High,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,,Standalone Proxy rules,,,,passthrough: AWS Cloudtrail,"4.1.1 , 4.1.2",4.2.2,"4.3.1  , 4.3.2"
1.1.3522,AWS,internal,7da37644-be69-46b5-9f45-1d743a296405,AWS CLOUDTRAIL [EC2 - GPU Instance Abuse],"This rule looks for the AWS EC2 RunInstances action, specifically instances in the Accelerated Computing lineup offered by AWS. These GPU focused instances can have legitimate uses for things like artificial intelligence and machine learning, but their use is rare and attackers can use them for nefarious acts such as mining cryptocurrencies.","aws,cloudtrail,ec2,cloud,Impact,Resource Hijacking,T1496,Initial Access,Exploit Public-Facing Application,T1190,md-info",NA,Methodology,Methodology,"T1496,T1190","class=aws_cloudtrail srczone=ec2.amazonaws.com action=runinstances instance_type:[p*,g*] NOT srcipv4:$exclusions.global.srcipv4",username,FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3522,"Impact,Initial Access",Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,20,,Standalone native rules,Native,,,"Trellix Cloud, Trellix Atomic, Trellix User Behavior","4.1.1 , 4.1.2",4.2.2,"4.3.1  , 4.3.2"
1.1.602,AWS,internal,7da37644-be69-46b5-9f45-1d743a296405,AWS CLOUDTRAIL [EC2 - EBS Volume Snapshot Made Public],"This behavioral rule looks for the AWS EC2 ModifySnapshotAttribute command setting an EBS volume's snapshot access group to ""All"", which makes the volume's snapshot publicly accessible. If the EBS snapshot contains sensitive data, this could potentially lead to a data breach due to the volume being accessible by any other AWS account.","aws,cloudtrail,ec2,cloud,faas-full-coverage,md-info",NA,Methodology,Methodology,NA,"class=aws_cloudtrail srczone=ec2.amazonaws.com action=modifysnapshotattribute rawmsg:/CreateVolumePermission\.Add\.[0-9]*\.Group\"": All|createVolumePermission\""\:\s?\{\""add\""\:\s?\{\""items\""\:\s?\[\{\""group\""\:\s?\""all\""/ NOT srcipv4:$exclusions.global.srcipv4",roleid,FALSE,FALSE,FALSE,TRUE,ON,4,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.602,NA,Medium,High,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,,Standalone native rules,Native,,,"Trellix Cloud, Trellix Atomic, Trellix User Behavior","4.1.1 , 4.1.2",4.2.2,"4.3.1  , 4.3.2"
1.1.603,AWS,internal,7da37644-be69-46b5-9f45-1d743a296405,AWS CLOUDTRAIL [EC2 - Several Instances Manually Created/Started],"This behavioral rule looks for multiple EC2 instances being stood up in a short amount of time that were not initiated by AWS services such as Autoscaling, CloudFormation, EMR, and Spot. This could represent an attacker creating bogus infrastructure in the environment without the use of production scaling tools.","aws,cloudtrail,ec2,cloud,Impact,Resource Hijacking,T1496,md-info",NA,Methodology,Methodology,T1496,"class=aws_cloudtrail srczone=ec2.amazonaws.com action=[runinstance,runinstances,startinstance,startinstances] NOT service=[cloudformation.amazonaws.com,autoscaling.amazonaws.com,elasticmapreduce.amazonaws.com,spot.amazonaws.com] NOT srcipv4:$exclusions.global.srcipv4",roleid,FALSE,FALSE,FALSE,TRUE,ON,4,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.603,Impact,Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,97,Threshold,Standalone native rules,Native,,,"Trellix Cloud, Trellix Atomic, Trellix User Behavior","4.1.1 , 4.1.2",4.2.2,"4.3.1  , 4.3.2"
1.1.607,AWS,internal,7da37644-be69-46b5-9f45-1d743a296405,AWS CLOUDTRAIL [IAM - Manual Action Without MFA],"This behavioral rule looks for AWS actions performed without the use of multi-factor authentication. If multi-factor authentication is not enforced for AWS actions but required by company policy, this alert could represent an attacker using stolen credentials without the presence of an MFA device or a policy violation by a legitimate user.","aws,iam,cloudtrail,cloud,Defense Evasion,Initial Access,Persistence,Privilege Escalation,Valid Accounts,T1078,Cloud Accounts,T1078.004,md-info",NA,Methodology,Methodology,"T1078,T1078.004","class:aws_cloudtrail authmethod=no [accessgroup,logontype]:`iamuser` NOT srcipv4:$exclusions.global.srcipv4",roleid,FALSE,FALSE,FALSE,TRUE,ON,6,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.607,"Defense Evasion,Initial Access,Persistence,Privilege Escalation",Low,High,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,140,,Standalone native rules,Native,,,"Trellix Cloud, Trellix Atomic, Trellix User Behavior","4.1.1 , 4.1.2",4.2.2,"4.3.1  , 4.3.3"
1.1.609,AWS,internal,7da37644-be69-46b5-9f45-1d743a296405,AWS CLOUDTRAIL [EC2 - AMI Made Public],"This behavioral rule looks for the AWS EC2 ModifyImageAttribute command setting an EC2 AMI's access group to ""All"", which makes the AMI publicly accessible. If the AMI contains sensitive data, this could potentially lead to a data breach due to the AMI being accessible by any other AWS account.","aws,cloudtrail,ec2,cloud,faas-full-coverage,md-info",NA,Methodology,Methodology,NA,"class=aws_cloudtrail srczone=ec2.amazonaws.com action=modifyimageattribute rawmsg:/LaunchPermission\.Add\.[0-9]*\.Group\"": All|launchPermission\""\:\s?\{\""add\""\:\s?\{\""items\""\:\s?\[\{\""group\""\:\s?\s?\""all\""/ NOT srcipv4:$exclusions.global.srcipv4",roleid,FALSE,FALSE,FALSE,TRUE,ON,4,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.609,NA,Low,High,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,,Standalone native rules,Native,,,"Trellix Cloud, Trellix Atomic, Trellix User Behavior","4.1.1 , 4.1.2",4.2.2,"4.3.1  , 4.3.2"
1.1.610,AWS,internal,7da37644-be69-46b5-9f45-1d743a296405,AWS CLOUDTRAIL [EC2 - AMI Shared],"This behavioral rule looks for the AWS EC2 ModifyImageAttribute modifying an AMI to allow access to other AWS accounts. If the AMI contains sensitive data and the sharing was not authorized, this could potentially lead to a data breach due to the AMI being accessible to 3rd parties.","aws,cloudtrail,ec2,cloud,Defense Evasion,Modify Cloud Compute Infrastructure,T1578,md-info",NA,Methodology,Methodology,T1578,"class=aws_cloudtrail srczone=ec2.amazonaws.com action=modifyimageattribute rawmsg:/LaunchPermission\.Add\.[0-9]*\.UserId\"": [0-9]{12}|launchPermission\""\:\s?\{\""add\""\:\s?\{\""items\""\:\s?\[\{\""userId\""\:\s?\""[0-9]*/ NOT srcipv4:$exclusions.global.srcipv4",roleid,FALSE,FALSE,FALSE,TRUE,ON,4,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.610,Defense Evasion,Low,High,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,,Standalone native rules,Native,,,"Trellix Cloud, Trellix Atomic, Trellix User Behavior","4.1.1 , 4.1.2",4.2.2,"4.3.1  , 4.3.2"
1.1.611,AWS,internal,7da37644-be69-46b5-9f45-1d743a296405,AWS CLOUDTRAIL [EC2 - Encrypted Windows Password Retrieved],"This behavioral rule looks for the AWS EC2 GetPasswordData command, which retrieves the encrypted administrator password for an instance running Windows. When unexpected, this action could potentially represent credential harvesting activity on EC2 Windows infrastructure.","aws,cloudtrail,ec2,cloud,Defense Evasion,Initial Access,Persistence,Privilege Escalation,Valid Accounts,T1078,Default Accounts,T1078.001,md-info",NA,Methodology,Methodology,"T1078,T1078.001",class=aws_cloudtrail srczone=ec2.amazonaws.com action=getpassworddata NOT srcipv4:$exclusions.global.srcipv4,roleid,FALSE,FALSE,FALSE,TRUE,ON,2,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.611,"Defense Evasion,Initial Access,Persistence,Privilege Escalation",Low,High,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,,,Standalone Proxy rules,,,,passthrough: AWS Cloudtrail,"4.1.1 , 4.1.2",4.2.2,"4.3.1  , 4.3.2"