id,rulepack,rule_src,type_id,name,description,tags,kc,classification,threat_def,mitre_attackids,query,distinguishers,deleted,hidden,rf_rule,enabled,alert,revisions,risk,create_date,update_date,disabled_reason,tuned,tuningSearch,tuningEventsThreshold,tuningSecondsThreshold,customer_id,weblink,mitre_tactics,severity,confidence,count,extra_f1,extra_f2,threatvector,os,eventids,threattype,ruletype,Categorization,Metadata_update,Rule Count before,Rule Count After,Tags,RA - investigate,RA - contain,RA - remediate
1.1.3191,Vendor - GCP,internal,4f29d79b-9e85-4a43-9242-fd86657fab32,GCP [Activity From Tor],GCP activity was detected from a Tor exit node. This may be legitimate activity depending on your organization's policy.,"google,md-info",Delivery,Methodology,Methodology,NA,class=google_cloud has:srcipv4 has:username NOT username:`system:anonymous` context_tags:tor_exit NOT srcipv4:$exclusions.global.srcipv4,"srcipv4,username",FALSE,FALSE,FALSE,TRUE,ON,2,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3191,NA,Medium,High,0,NA,NA,Cloud,NA,NA,Methodology,Native,standalone native rule,ruletype should be changed to native,1,,"trellix cloud,trellix atomic,trellix user behavior,trellix methodology",4.1.2,4.2.1,4.3.2
1.1.3195,Vendor - GCP,internal,4f29d79b-9e85-4a43-9242-fd86657fab32,GCP [Organization IAM Policy Changed],"This rule looks for any SetIAMPolicy call made towards an organization resource. A SetIAMPolicy call sets the access control policy on an Organization resource and replaces any existing policy, if any. If this rule triggers an alert, determine whether this change aligns with your organization's policies.","google,Persistence,Account Manipulation,T1098,md-info",NA,Methodology,Methodology,T1098,class:google* action=setiampolicy objecttype=organization NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,2,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3195,Persistence,Low,High,0,NA,NA,Cloud,NA,NA,Methodology,Native?,standalone native rule,,1,,"trellix cloud,trellix atomic,trellix user behavior,trellix methodology",4.1.2,4.2.1,4.3.1
1.1.3323,Vendor - GCP,internal,4f29d79b-9e85-4a43-9242-fd86657fab32,GCP [High Number of VMs Deployed],"A high number of VM creations or deployment activities have been detected in a short period of time that are not part of any GCE Managed Instance Groups. This could be indicative of an attacker setting up a bogus infrastructure in the environment, and should be investigated further.","google,Impact,Resource Hijacking,T1496,md-info",Act,Methodology,Methodology,T1496,"class=google_cloud objecttype=gce_instance action=[v1.compute.instances.insert,v1.compute.instances.start] NOT useragent:`gce managed instance group` NOT srcipv4:$exclusions.global.srcipv4",username,FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3323,Impact,Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,Native,standalone native rule,ruletype should be changed to native,1,,"trellix cloud,trellix atomic,trellix user behavior,trellix methodology",4.1.2,4.2.1,4.3.1
1.1.3422,Vendor - GCP,internal,4f29d79b-9e85-4a43-9242-fd86657fab32,GCP [API Key Created],A GCP API key was created.,"google,Execution,Native API,T1106,md-info",NA,Methodology,Methodology,T1106,class:google_cloud* action=`google.api.apikeys.v1.apikeys.createapikey` NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3422,Execution,Low,High,0,NA,NA,Cloud,NA,NA,Methodology,Native,standalone proxy rule,,1,,passthrough: GCP,4.1.2,4.2.1,"4.3.1, 4.3.2"
1.1.3456,Vendor - GCP,internal,4f29d79b-9e85-4a43-9242-fd86657fab32,G SUITE [<%= category %>],This rule looks for suspicious GCP logon events.,"google,Defense Evasion,Initial Access,Persistence,Privilege Escalation,Valid Accounts,T1078,Cloud Accounts,T1078.004,md-info",Exploitation,Methodology,Methodology,"T1078,T1078.004",class=google_cloud_audit_logs action:`google.login.loginservice.suspicious*` NOT srcipv4:$exclusions.global.srcipv4,"username,category",FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3456,"Defense Evasion,Initial Access,Persistence,Privilege Escalation",Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,standalone proxy rule,,1,,passthrough: GCP,4.1.2,4.2.1,"4.3.1, 4.3.2"
1.1.3457,Vendor - GCP,internal,4f29d79b-9e85-4a43-9242-fd86657fab32,G SUITE [<%= category %>],This rule looks for an account that Google disabled because the account engaged with spamming activity or might be compromised.,"google,Defense Evasion,Initial Access,Persistence,Privilege Escalation,Valid Accounts,T1078,Cloud Accounts,T1078.004,md-info",Exploitation,Methodology,Methodology,"T1078,T1078.004",class=google_cloud_audit_logs action:`google.login.loginservice.accountdisabled*` NOT action:`google.login.loginservice.accountdisabledgeneric` NOT srcipv4:$exclusions.global.srcipv4,"username,category",FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3457,"Defense Evasion,Initial Access,Persistence,Privilege Escalation",Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,Native,standalone native rule,ruletype should be changed to native,1,,"trellix cloud,trellix atomic,trellix user behavior,trellix methodology",4.1.1,4.2.1,"4.3.1, 4.3.2"
1.1.3458,Vendor - GCP,internal,4f29d79b-9e85-4a43-9242-fd86657fab32,G SUITE [Gov Attack Warning],This rule looks for GCP accounts that could be targets of a government-backed attack.,"google,Defense Evasion,Initial Access,Persistence,Privilege Escalation,Valid Accounts,T1078,Cloud Accounts,T1078.004,md-info",Exploitation,Methodology,Methodology,"T1078,T1078.004",class=google_cloud_audit_logs action=google.login.loginservice.govattackwarning NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,1,Critical,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3458,"Defense Evasion,Initial Access,Persistence,Privilege Escalation",High,High,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,standalone proxy rule,,1,,passthrough: GCP,4.1.1,4.2.1,"4.3.2, 4.3.3"
1.1.3750,Vendor - GCP,internal,4f29d79b-9e85-4a43-9242-fd86657fab32,GCP [Two Step Verfication Disabled],This rule looks for GCP users who have the 2-Step Verification feature disabled.,"google,Defense Evasion,Initial Access,Persistence,Privilege Escalation,Valid Accounts,T1078,Cloud Accounts,T1078.004,md-info",NA,Methodology,Methodology,"T1078,T1078.004",class:google_cloud_audit_logs action=google.login.loginservice.2svdisable NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,1,Medium,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3750,"Defense Evasion,Initial Access,Persistence,Privilege Escalation",Medium,Medium,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,standalone proxy rule,,1,,passthrough: GCP,4.1.2,4.2.1,4.3.3
1.1.3481,Vendor - GCP,internal,4f29d79b-9e85-4a43-9242-fd86657fab32,GCP [Firewall Rules Modified],This rule looks for changes made to the GCP firewall rules.,"google,Defense Evasion,Impair Defenses,T1562,Disable or Modify Cloud Firewall,T1562.007,md-info",NA,Methodology,Methodology,"T1562,T1562.007","class:google* objecttype=gce_firewall_rule action=[`v1.compute.firewalls.insert`,`v1.compute.firewalls.delete`,`v1.compute.firewalls.update`] NOT srcipv4:$exclusions.global.srcipv4",username,FALSE,FALSE,FALSE,TRUE,OFF,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3481,Defense Evasion,Low,High,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,standalone proxy rule,,1,,passthrough: GCP,4.1.3,4.2.1,4.3.1
1.1.3482,Vendor - GCP,internal,4f29d79b-9e85-4a43-9242-fd86657fab32,GCP [Deletion Protection Disabled],This rule looks for GCP instances with the Disabled Protection feature. It is a good practice to enable this feature on production instances to prevent them from being accidentally deleted.,"google,Defense Evasion,Modify Cloud Compute Infrastructure,T1578,md-info",NA,Methodology,Methodology,T1578,"class:google_cloud* objecttype=gce_instance action=v1.compute.instances.setdeletionprotection rawmsg:`""deletionProtection"":false` NOT srcipv4:$exclusions.global.srcipv4","object,username",FALSE,FALSE,FALSE,TRUE,ON,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3482,Defense Evasion,Low,High,0,NA,NA,Cloud,NA,NA,Methodology,Native,standalone proxy rule,,1,,passthrough: GCP,4.1.2,4.2.1,4.3.2
1.1.3516,Vendor - GCP,internal,e6286477-d674-4e51-bc86-555732b90f05,GCP FORSETI SECURITY [Violation: <%= category %>],"Forseti Security is a collection of community-driven, open-source tools to help improve the security of Google Cloud Platform (GCP) environment. This rule looks for Forseti Security discovered violations.","google,cloud,forseti security,md-info",NA,Methodology,Methodology,NA,class=google_cloud source=forseti has:rule NOT srcipv4:$exclusions.global.srcipv4,"object,category,targethost",FALSE,FALSE,FALSE,TRUE,OFF,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3516,NA,Low,Medium,0,NA,NA,Cloud,NA,NA,Methodology,Native,standalone native rule,ruletype should be changed to native,1,,"trellix cloud,trellix atomic,trellix user behavior,trellix methodology",4.1.2,4.2.1,4.3.1
1.1.3518,Vendor - GCP,internal,4f29d79b-9e85-4a43-9242-fd86657fab32,GCP [Default Firewall Rules In Use],This rule looks for GCP default firewall rules that are in use.,"google,Defense Evasion,Impair Defenses,T1562,md-info",NA,Methodology,Methodology,T1562,"class:google* objecttype=gce_firewall_rule object:[`*default-allow-ssh`,`*default-allow-rdp`,`*default-allow-icmp`,`*default-allow-internal`] NOT action=v1.compute.firewalls.delete NOT srcipv4:$exclusions.global.srcipv4","username,object",FALSE,FALSE,FALSE,TRUE,OFF,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3518,Defense Evasion,Low,High,0,NA,NA,Cloud,NA,NA,Methodology,Native,standalone native rule,ruletype should be changed to native,1,,"trellix cloud,trellix atomic,trellix user behavior,trellix methodology",4.1.2,4.2.1,4.3.1
1.1.3519,Vendor - GCP,internal,4f29d79b-9e85-4a43-9242-fd86657fab32,GCP [Logging Sink Modified],This rule looks for any changes made to the GCP logging sink. This could potentially prevent insight into activities in the cloud environment.,"google,Defense Evasion,Impair Defenses,T1562,md-info",NA,Methodology,Methodology,T1562,"class:google* objecttype=logging_sink action=[`google.logging.v2.configservicev2.updatesink`,`google.logging.v2.configservicev2.deletesink`] NOT srcipv4:$exclusions.global.srcipv4","username,action",FALSE,FALSE,FALSE,TRUE,ON,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3519,Defense Evasion,Low,High,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,standalone proxy rule,,1,,passthrough: GCP,4.1.2,4.2.1,4.3.1
1.1.3520,Vendor - GCP,internal,4f29d79b-9e85-4a43-9242-fd86657fab32,GCP [IAM Custom Role],This rule looks for GCP custom IAM roles that were created or updated.,"google,Persistence,Account Manipulation,T1098,md-info",NA,Methodology,Methodology,T1098,"class:google* service=iam.googleapis.com action=[`google.iam.admin.v1.createrole`,`google.iam.admin.v1.updaterole`] NOT srcipv4:$exclusions.global.srcipv4","username,action",FALSE,FALSE,FALSE,TRUE,ON,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3520,Persistence,Low,High,0,NA,NA,Cloud,NA,NA,Methodology,3rd party,standalone proxy rule,,1,,passthrough: GCP,4.1.2,4.2.1,"4.3.1, 4.3.3"
1.1.3751,Vendor - GCP,internal,4f29d79b-9e85-4a43-9242-fd86657fab32,GCP [Email Forwarding Out Of Domain],This rule looks for GCP users who enabled out-of-domain email forwarding.,"google,Collection,Email Collection,T1114,Email Forwarding Rule,T1114.003,md-info",NA,Methodology,Methodology,"T1114,T1114.003",class:google_cloud_audit_logs service=login.googleapis.com action=google.login.loginservice.emailforwardingoutofdomain NOT srcipv4:$exclusions.global.srcipv4,username,FALSE,FALSE,FALSE,TRUE,ON,1,Low,##########,##########,NA,FALSE,NA,NA,NA,NA,https://apps.fireeye.com/helix/id/hexzbh476/rules/1.1.3751,Collection,Low,Medium,0,NA,NA,Cloud,NA,NA,Methodology,Native,standalone native rule,ruletype should be changed to native,1,,"trellix cloud,trellix atomic,trellix user behavior,trellix methodology",4.1.1,4.2.1,"4.3.1, 4.3.2"